"","date","text","country","participant"
"13",2020-05-15 22:36:54,"#Africa 🌏
Lifting Africa's #Covid19 lockdown poses problems. Could this be an unpopular opinion? Read more here: https://t.co/KwsAo7DvVH #Covid19FoodFuture @AmandaNamayi","Global","AmandaNamayi"
"14",2020-05-15 22:35:20,"“Changes in the way #food is grown, processed, distributed &amp;consumed over the last several decades has led to increasing threats to a future of food that is sustainable, equitable&amp; secure”~@FoodSystems

🔗https://t.co/hnEUPnDB7E

@CovidFoodFuture #Covid19FoodFuture @AmandaNamayi","Global","AmandaNamayi"
"15",2020-05-15 22:32:30,"💉No cure has been found for #Covid19 yet but #health experts advise us to boost immunity by eating the right diet. 

🥗Get better insight on the kind of  vitamins &amp; minerals one gets from the different #food groups

🔗https://t.co/UKgrlUyUjY 

#Covid19FoodFuture @AmandaNamayi","Global","AmandaNamayi"
"16",2020-05-15 20:34:30,"@FAOBenin @josherbert25 
#covid19foodfuture https://t.co/KXhqPIRQz7","Benin","josherbert25"
"17",2020-05-15 19:05:02,"#Madagascar - La coopération Chine-FAO-Madagascar favorise beaucoup la production rizicole dans l'Alaotra avec une hausse élevée dépassant largement la moyenne grâce aux techniques appliquées sur quelques hectares. https://t.co/EUys1v4q0q 

#Covid19FoodFuture @mayadisraeli","Madagascar","mayadisraeli"
"18",2020-05-15 19:01:46,"#Madagascar-""La plupart des bouchers n'arrivent pas à écouler 100kg de viande en une journée.Les personnes achetant 1kg de viande n'achètent plus q'un demi-kilo. Les revenus ne sont plus les mêmes."" explique Solo,boucher. https://t.co/EC3aVzXVfJ 
#Covid19FoodFuture @Maya_disraeli","Madagascar","mayadisraeli"
"19",2020-05-15 16:04:18,"NIGERIA – Voices from the Ground “The delays at the ports may result in cargoes getting to their destinations late and could result in contract defaults” - Muftau Abolarinwa, President of the Cocoa Association of Nigeria. https://t.co/QKWwV9amvO #Covid19FoodFuture @JohnAgboola_ https://t.co/gHRroJf0gJ","Nigeria","JohnAgboola_"
"20",2020-05-15 16:01:33,"NIGERIA – DYK that the new rules introduced by shipping regulators, crew of vessels entering the country’s waters are required to observe a mandatory 14 days quarantine period before they can discharge their goods (including foods) #Covid19FoodFuture @JohnAgboola_ 

📷- AllAfrica https://t.co/OgBpFd2SiM","Nigeria","JohnAgboola_"
"21",2020-05-15 15:59:23,"NIGERIA – Cocoa exports stalled over Covid-19 safety protocols with at least 30,000 tons shipment of cocoa delayed in Lagos.
Read more here - https://t.co/QKWwV9amvO #Covid19FoodFuture #foodsystems #Cocoa @JohnAgboola_

📷:- NEPC https://t.co/oPfzJiLOAg","Nigeria","JohnAgboola_"
"22",2020-05-15 15:43:50,"#Nigeria – Most farmers are older, if not elderly, which makes them susceptible to the virus. 
Is there a new generation ready to replace them?
Will some young farmers who had moved to cities looking for jobs be interested in farming?

@miss_abimbola #Covid19FoodFuture https://t.co/b4RRVc7RxR","Nigeria","miss_abimbola"
"23",2020-05-15 15:37:34,"#Nigeria - Farming could be directly impacted by demands for greater social distancing, especially at all times when workers work shoulder to shoulder. 

Will this lead to an increase in mechanization and automation? 

@miss_abimbola #Covid19FoodFuture https://t.co/nTXlvEW4bO","Nigeria","miss_abimbola"
"24",2020-05-15 15:09:26,"Alors que la contamination au #Covid_19 ne cesse de croître, quels impacts sur le secteur du Cacao et du Café en #RDC? 👉https://t.co/Zf1FBa2dSZ @EMvuenga #Covid19FoodFuture #Cacao #Coffee","DRC","EMvuenga"
"25",2020-05-15 15:06:53,"World - Food security and #Covid_19: an overview of @WorldBank. 👉 https://t.co/ysUJZSBQJY  @EMvuenga #Covid19FoodFuture","Global","EMvuenga"
"26",2020-05-15 15:05:19,"🇨🇩 - ENSOKO: Une solution digitale pour l’approvisionnement des ménages congolais en denrées alimentaires en cette période de #Covid_19.
 👉 https://t.co/XIM0VqFdIk 
@EMvuenga #Covid19FoodFuture  #ICT4Ag","DRC","EMvuenga"
"27",2020-05-15 15:00:55,"#RDC : les jardins domestiques deviennent de plus en plus une alternative pour  la résilience alimentaire au sein du réseau @ypard_rdc en cette période de #Covid_19.  https://t.co/8ZI92KnkEF 
@EMvuenga #Covid19FoodFuture
@akin_adesina @YpardAfrica","DRC","EMvuenga"
"28",2020-05-15 14:57:33,"#RDC : Les institutions de recherche agricole devront songer à anticiper l’après #Covid_19 pour garantir à l’accès aux semences, géniteurs, etc. auprès des producteurs. @EMvuenga #Covid19FoodFuture https://t.co/Qf3UapY7nw","DRC","EMvuenga"
"29",2020-05-15 14:49:49,"L’Etat d’urgence en # RDC continue d’asphyxier l’économie nationale et fragiliser les systèmes alimentaires. @EMvuenga #Covid19FoodFuture","DRC","EMvuenga"
"30",2020-05-15 14:19:26,"Canadian-born Sabrina Dhowre Elba and her husband, actor Idris Elba are fighting for #African rural #farmers affected by #Covid19. See more here 👇

📌https://t.co/VRYBfwKLGy

#Covid19FoodFuture #AfricanRuralFarmers @MalalaOnisoa 🇲🇬
📷 https://t.co/ish0mZbqt3 https://t.co/SjUP3P1EeX","Global","MalalaOnisoa"
"31",2020-05-15 13:55:25,"#Madagascar – La route #RN43 reliant 3 grandes régions avec un fort potentiel agricole est en construction. Ce chantier est d’un enjeu économique important pour #Antananarivo&amp;alentours 🚚🚚

👉https://t.co/9FEiNMefQn

#Covid19FoodFuture @MalalaOnisoa 🇲🇬
📷FifamoivoizanaEtoMada https://t.co/baqjlHCOyr","Madagascar","MalalaOnisoa"
"32",2020-05-15 13:46:08,"2/2 #Burkina: L'Etat accroîtra sa participation au capital de la Banque agricole pour améliorer la productivité et renforcer la résilience des ruraux. La période post-covid s'annonce bien pour les agriculteurs burkinabè. @EdoSango #Covid19FoodFuture https://t.co/9NjkMDpC3e","Burkina Faso","ed_sango"
"33",2020-05-15 13:41:12,"1/2 #Burkina: L'assemblée nationale a adopté le projet de loi portant création d'une #banque d'#agrobusiness. Le projet est estimé à 6 milliards de francs CFA et est supporté par l'État burkinabè et la @AfDB_Group. 
@EdoSango
 #Covid19FoodFuture
https://t.co/9NjkMDpC3e","Burkina Faso","ed_sango"
"34",2020-05-15 13:37:22,"#Senegal: Pour d'assurer la disponibilité du pain en respectant les mesures sanitaires, une plateforme ""Jaayma Mburu"" (vends-moi du pain en wolof) a été initiée pour permettre aux populations de passer leur commande par appel @EdoSango #Covid19FoodFuture https://t.co/bvyTzM6mxz","Global","ed_sango"
"35",2020-05-15 13:09:43,"#KENYA- Up to 70% of slum dwellers surveyed by @WFP reported eating less or nothing as economic effects of #COVID19 continue to bite. This report further details that #Africa as a whole faces almost $66 bln in monthly losses: https://t.co/tN2YDnThRD #Covid19FoodFuture @olareeh https://t.co/xooT5GQQGQ","Kenya","olareeh"
"36",2020-05-15 13:05:21,"#KENYA- Supermarket chain Carrefour and the Kenya Red Cross have launched a joint food drive to obtain food stuff which will be donated to vulnerable families whose access to food has been limited by #COVID19: https://t.co/9lgKLcbAOO #Covid19FoodFuture @olareeh https://t.co/nHt2vfeWpf","Kenya","olareeh"
"37",2020-05-15 13:04:07,"#KENYA-Among poor people in urban areas, disruption of incomes by #COVID19 has severely limited their access to food. This report explains how some residents in Kibra are coping: https://t.co/gd2SNpoERo #Covid19FoodFuture @olareeh https://t.co/rbwksL8b3B","Kenya","olareeh"
"38",2020-05-15 13:02:49,"#KENYA-Poor people in urban areas are among the most vulnerable to food shocks due to #COVID19. This report analyses several factors affecting the cost of food in Nairobi: https://t.co/YPhvI3LsJf #Covid19FoodFuture @olareeh https://t.co/IIr9t30gUl","Kenya","olareeh"
"39",2020-05-15 12:27:24,"#KENYA-The Kenya Association of Manufacturers paints a grim picture as it announces that up to 40% of jobs in the agricultural sector are at risk due to #COVID19 as govt stimulus packages are yet to have the desired effect: https://t.co/GlfArfMtoJ #Covid19FoodFuture @olareeh https://t.co/7pKUHdx9F9","Kenya","olareeh"
"40",2020-05-15 12:25:52,"#KENYA-It is exactly 2 months since #COVID19 was first reported in the country. The situation is compounded by a food shortage. The Ministry of Agriculture has announced a planned importation of 4 million bags of maize: https://t.co/9Dc4N7mtdk #Covid19FoodFuture @olareeh https://t.co/APlTqQQMRp","Kenya","olareeh"
"41",2020-05-15 12:10:04,"#JeanPhilippeJarry explique via @Fes_Benin pourquoi le #Covid19 renforce l’insécurité alimentaire. https://t.co/UFscqdRvEw #Coronavirus  @josherbert25 #covid19foodfuture
#CrystalABusiness https://t.co/57GIA5y3k0","Benin","josherbert25"
"42",2020-05-15 11:31:56,"With no hope that #Covid_19 is going to end any time soon, sustainable mechanisms to build resilience of key players in agric. &amp;food supply chains are essential to ensure continued &amp; uninterrupted supply in the long run. https://t.co/vWLm0mebTn
#Covid19FoodFuture @kanyemba_nellie","Global","kanyemba_nellie"
"43",2020-05-15 09:41:46,"#Malawi- Social Cash Transfer is assisting vulnerable families whose livelihoods have been affected by #Covid19 especially because most businesses have slowed down. https://t.co/ZLxQbPbSIB 
#Covid19FoodFuture @kanyemba_nellie","Malawi","kanyemba_nellie"
"44",2020-05-15 09:41:03,"#Malawi- There is an anticipated food insecurity following supply chains disruptions and nutrition extension services especially to children &amp; also pregnant &amp; lactating mothers as shared in a report here 👉https://t.co/AA0N9ULfal 
#Covid19FoodFuture @kanyemba_nellie","Malawi","kanyemba_nellie"
"45",2020-05-15 08:56:03,"Mokwa is an ancient town in Niger state of Nigeria and it links the north to the south part of Nigeria. Widely noted for food distribution, here is an article I shared to know the impacts of #Covid19 on food distribution - https://t.co/3192ZJgPho @miss_abimbola #Covid19FoodFuture","Nigeria","miss_abimbola"
"46",2020-05-15 08:54:15,"Local food systems in Nigeria is affected by the lockdown caused by the #Covid19 pandemic. 

From the farmers, retailers and local restaurant stalls. 

Here is an article I wrote to share my thoughts - https://t.co/i5i2zT38yK

@miss_abimbola #Covid19FoodFuture","Nigeria","miss_abimbola"
"47",2020-05-15 08:53:07,"Yared Tesima recently shared an article on how East Africans are learning to share their pain. It is quite thoughtful and thought provoking. @YaredTesema1

Read it here - https://t.co/Gp1yRtjE8t 

@miss_abimbola #Covid19FoodFuture","Global","miss_abimbola"
"48",2020-05-15 08:52:25,"#Nigeria - Do you know that that the plant used for “Covid-Organics” herbal medicine is grown in the country? 

Is herb farming the new gold? 

Read my opinion here - https://t.co/9p8RutHnjV 

@miss_abimbola #Covid19FoodFuture","Nigeria","miss_abimbola"
"49",2020-05-15 08:51:45,"#Nigeria - While the future seems uncertain for many jobs, herb farming offers hope for a considerable business proposition post Covid-19. 

Read my opinion on Nigeria’s stance on “Covid-Organics” here - 

https://t.co/9p8RutHnjV 

@miss_abimbola #Covid19FoodFuture","Nigeria","miss_abimbola"
"50",2020-05-15 08:34:39,"#Kenya 

👉The entire disruption of global markets for staples emphasises on the importance ofself-sufficiency at household and national level.

👉#Covid19FoodFuture @sharonjcheboi

Read more on lessons on self sufficiency from #COVID19KE 

https://t.co/pgEw7xmTK8","Kenya","sharonjcheboi"
"51",2020-05-15 08:33:06,"🌴#Kenya Local transport issues should be solved now and start an immediate programme to increasestaple foods production, lest we starve.

🌴#Covid19FoodFuture @sharonjcheboi https://t.co/Zj1mzKwMrZ","Kenya","sharonjcheboi"
"52",2020-05-15 08:31:01,"🌾#Kenya Pakistan has suspended rice export contracts &amp; India has banned them 

🌾All foreignrice supplies are compromised. So that’s half of our staple food that won’t be coming since 93%
of rice consumed are exports.

 https://t.co/MUasEDGe2b #Covid19FoodFuture @sharonjcheboi","Kenya","sharonjcheboi"
"53",2020-05-15 08:29:18,"Thread: 1/4

👉#Kenya Ukraine, which supplies 12% of our wheat, is about to ban its wheat exports. 

🌾Yet, itaccounts for almost a third of the energy we get from staple foods.

#Covid19FoodFuture @sharonjcheboi

 👉https://t.co/MUasEDGe2b https://t.co/n1X7dFM3W3","Kenya","sharonjcheboi"
"54",2020-05-15 05:28:52,"#Africa - East African countries are dealing with other crises, heavy rainfall is causing floods  Ethiopia, Kenya, Rwanda, Somalia, Uganda &amp; other countries as well. Photo credit - 
Biruk Terrefe Source https://t.co/Uau69vFe5w - #Covid19FoodFuture @YaredTesema1 https://t.co/08WUBeBixX","Kenya","YaredTesema1"
"55",2020-05-15 05:06:46,"#Ethiopia - In Addis Ababa 2nd round of house to house check for #Covid-19 with the help of electronic devices has begun. This helps in determining the number of infected &amp; get real-time data to be analyzed. Photo FanaTv https://t.co/32D7ZA5KMA #Covid19FoodFuture @YaredTesema1 https://t.co/48EdH4L8fO","Ethiopia","YaredTesema1"
"56",2020-05-14 18:14:18,"NIGERIA – 👩‍🌾Voices from the Farmer Pt2 “Planting of crops take place at this time. Thus, time is not on our side as the wet season will soon end &amp; the dry planting season too may fail if care is not taken” Read more here -  https://t.co/otYrgfmCgZ #Covid19FoodFuture @JohnAgboola_ https://t.co/JvxGr1TPM7","Nigeria","JohnAgboola_"
"57",2020-05-14 18:11:19,"NIGERIA – 👨‍🌾Voices from the Farmer Pt1 “Now that all farmers are supposed to be on the farm to engage in wet farming, we cannot move. Time is not in our favor while farming is seasonal”. Read more here - https://t.co/otYrgfmCgZ #Covid19FoodFuture #farmingSeason @JohnAgboola_ https://t.co/MrRqbt1mTY","Nigeria","JohnAgboola_"
"58",2020-05-14 18:02:44,"NIGERIA – The Ministry of Agriculture (@FmardNg) has issued a clear instruction to all security personnel on the need to allow the free &amp; unhindered movement of foodstuff, livestock &amp; Agro-inputs to all parts of Nigeria - https://t.co/pM7jmbVIej #Covid19FoodFuture @JohnAgboola_ https://t.co/GqlHC4cqzI","Nigeria","JohnAgboola_"
"59",2020-05-14 17:59:31,"“Most #African researchers depend on research funding from outside Africa for their work. This should never be the case,” says Prof Nelson Torto, the executive director of @AASciences 
https://t.co/ah2v1bbY04 5/5 @CovidFoodFuture #Covid19FoodFuture @AmandaNamayi

📸@KEMRI_Kenya https://t.co/1vPZsLReOB","Kenya","AmandaNamayi"
"60",2020-05-14 17:51:18,"The African Academy of Sciences (AAS) @AASciences has raised the first batch of funds &amp; is currently working with the African Union (AU) @_AfricanUnion to establish a template that will improve R&amp;D funding across the continent 4/5 @CovidFoodFuture #Covid19FoodFuture @AmandaNamayi","Global","AmandaNamayi"
"61",2020-05-14 17:49:18,"The lack of funding is hindering #Covid19 R&amp;D across the continent with instances of activities in labs that are supposed to be engaged in medical research being limited to sample testing https://t.co/ah2v1bbY04 3/5 @CovidFoodFuture #Covid19FoodFuture @AmandaNamayi
📸 Courtesy https://t.co/Ol5CVN9xfu","Global","AmandaNamayi"
"62",2020-05-14 17:45:04,"#African scientists have integrated the African #Covid19 priorities with global priorities &amp; the Sustainable Development Goals (#SDGs) 2/5 @CovidFoodFuture #Covid19FoodFuture @AmandaNamayi https://t.co/BSq0uK02IW","Global","AmandaNamayi"
"63",2020-05-14 17:39:02,"THREAD
#Africa- #Covid19 pandemic has shown African governments the importance of having a strong research &amp; development system as scientists are being relied on for knowledge on the disease &amp; solutions https://t.co/ah2v1bbY04 1/5 @CovidFoodFuture #Covid19FoodFuture @AmandaNamayi","Global","AmandaNamayi"
"64",2020-05-14 17:11:40,"Avec la réouverture des marchés et ""loumas"", il est impératif de respecter toutes les mesures barriéres lors de la distribution des produits agricoles en cette période de #Covid19.
#Covid19FoodFuture @yadeyacine https://t.co/yrMmrPZdf1","Global","YadeYacine"
"65",2020-05-14 17:05:32,"En attendant la mise en place d'autres stratégies pour les acteurs agricoles au Sénégal , quelles sont les perspectives pour sauver la campagne agricole 2020 en pleine période de crise #Covid19?
#Covid19FoodFuture @yadeyacine https://t.co/aoygIn5Q0k","Senegal","YadeYacine"
"66",2020-05-14 16:55:26,"NIGERIA - The Federal Government recently inaugurated a joint technical task team on the #COVID19 emergency response to ease the movement food items, livestock etc across different parts of the country as food crisis looms- https://t.co/pM7jmbVIej #Covid19FoodFuture @JohnAgboola_","Nigeria","JohnAgboola_"
"67",2020-05-14 16:54:15,"NIGERIA – Both the #COVID19 lockdown and the insurgency in the North East is slowing down wheat production to meet the growing demand. Learn more - https://t.co/RhJZRINZAD #Covid19FoodFuture #Wheat #Foodsystems @JohnAgboola_

📷- SeedCo https://t.co/K5vbcskgT9","Nigeria","JohnAgboola_"
"68",2020-05-14 16:47:37,"NIGERIA – As #COVID19 pandemic is threatening food security and oil prices are crashing in the global market, Government needs to make agriculture its priority. A call to action by All Farmers Association of Nigeria, AFAN - https://t.co/UoMJpX8BOs #Covid19FoodFuture @JohnAgboola_ https://t.co/IqfApZ5s9j","Nigeria","JohnAgboola_"
"69",2020-05-14 16:46:31,"#Madagascar-La moisson de riz dans la région Alaotra Mangoro, qui  constitue l’un des greniers à riz de Madagascar, s’annonce bonne pour cette campagne de production malgré  la crise sanitaire qui prévaut dans le pays. 👉https://t.co/qiO0sUD9si 
#Covid19FoodFuture @Maya_disraeli","Madagascar","mayadisraeli"
"70",2020-05-14 16:45:30,"#Madagascar-Le stock de riz est insuffisant pour la ville de Fort-Dauphin pour le riz importé puisque le bateau approvisionnant la région reste encore inconnu. Les récoltes de riz pour cette campagne sont en attentes.
👉 https://t.co/EUoWQaKWMn 
#Covid19FoodFuture @Maya_disraeli","Madagascar","mayadisraeli"
"71",2020-05-14 16:34:05,"An article by Chris Wood explains the urgency to take back control of our food production at the moment of the pandemic than ever before. https://t.co/FdksIL6XGt
#Covid19FoodFuture @kanyemba_nellie","Global","kanyemba_nellie"
"72",2020-05-14 16:33:52,"Economic growth in agriculture is more effective in reducing poverty and food insecurity hence agricultural programs targeting rural farmers essential to mitigate severe #Covid_19 impacts. https://t.co/l6iwFbo5yh
#Covid19FoodFuture @kanyemba_nellie","Global","kanyemba_nellie"
"73",2020-05-14 16:32:08,"#SouthAfrica For Food Stability, food must be obtained through one's own effort rather than depending on charity/aid. Perhaps the unrest as we enter week 7 of #COVID19 is the realisation that South Africans are now not able to obtain food through their own effort @ndomfuh_1 https://t.co/yAT5fT2sxV","South Africa","ndomfuh_1"
"74",2020-05-14 16:14:59,"As Covid19 continues posing serious challenges in the agricultural sector, several opinions on how to address the challenges keep coming. Check this out 👉https://t.co/JbHA5zE7IH
#Covid19FoodFuture @kanyemba_nellie","Global","kanyemba_nellie"
"75",2020-05-14 15:10:26,"#Malawi - The rise of the novel Coronavirus has added to the burden faced by women farmers. 

Read @kayembanelie opinion on how Covid-19 reinforces gender gap in accessing Malawi’s food markets here - https://t.co/15fk4nzc3a 

@miss_abimbola #Covid19FoodFuture https://t.co/UqTDcJs7Dh","Malawi","miss_abimbola"
"76",2020-05-14 15:02:56,"#Kenya - Fruits and vegetables are among foods with the highest nutritional value, disruption in the supply chain greatly impacts the availability.🌾

Read @sharonjcheboi opinion on nutritional security in Kenya here- https://t.co/Z6R7rJA6zK 

@miss_abimbola #Covid19FoodFuture","Kenya","miss_abimbola"
"77",2020-05-14 14:59:00,"#Nigeria - Nigeria’s poultry industry is one of the agricultural sectors feeling the shock taken to flatten the curve of Covid-19. 

Read @JohnAgboola_ opinion on Nigeria’s poultry sector here - https://t.co/gaNhhPb9c9 

@miss_abimbola #Covid19FoodFuture https://t.co/7DG9VQZGLe","Nigeria","JohnAgboola_"
"78",2020-05-14 14:04:29,"Voix de la crise - #Burkina: Mon frère a perdu sa pomme de terre à cause de la quarantaine. Le transporteur a traîné et quand la mesure a été décrétée, toute la récolte a cramé sous l'effet du soleil. Boukari Kindo. @ed_sango #Covid19FoodFuture

 https://t.co/xQXEMM5xxH","Burkina Faso","ed_sango"
"79",2020-05-14 13:49:07,"🌾#Kenya To protect small holder farmers amidst #Covid19, a recent program partnership betweenKNTC and OCT will allow farmers to buy fertiliser at KES 2300/50KG from KES 2800 &amp;3200.

🌾https://t.co/xChBQIQawU

🌾#Covid19FoodFuture @sharonjcheboi","Kenya","sharonjcheboi"
"80",2020-05-14 13:45:47,"#Kenya Despite economy disruption &amp; income losses, @KilimoKE released nutrition guidelinesurging consumption of a diverse diet of 5 food groups daily. Is this out of touch with Kenyans’reality?Can they afford this diet? #Covid19FoodFuture @sharonjcheboi
https://t.co/ULVuCtFxtp https://t.co/45GzZFy8kI","Kenya","sharonjcheboi"
"81",2020-05-14 13:44:28,"🍃#Kenya ""Most packages donated to vulnerable households have rice, sugar, wheat, maize, soap&amp; oil. 

🍃This ignores access to fuel &amp; eliminates entire nutritional food groups such as proteins and
vitamins.""
Read more: https://t.co/jrVFmZeDEI

#Covid19FoodFuture @sharonjcheboi","Kenya","sharonjcheboi"
"82",2020-05-14 12:50:48,"#Madagascar – Les #PoisduCap  séchés sont très demandés hors la production ne cesse de diminuer. La production de Madagascar stagne sur la barre des 2000T. Le prix du kilo a triplé ces trois dernières années 💰.

👉https://t.co/YWtkiTtX3o

#Covid19FoodFuture @MalalaOnisoa 🇲🇬 https://t.co/EqRZRbxiI0","Madagascar","MalalaOnisoa"
"83",2020-05-14 12:18:07,"Filière pomme de terre: La quarantaine a accéléré les pertes de la tubercule à cause d'un manque de dispositifs de conservation efficaces et de la canicule que connaît le #Burkina actuellement. @ed_sango 
#Covid19FoodFuture #COVIDー19
👇🏾
 https://t.co/xQXEMMn8Wh","Burkina Faso","ed_sango"
"84",2020-05-14 12:03:10,"Stop #Covid19 crisis morphing into a #FoodCrisis: Support to Africa’s #rice sector🌾- @AfricaRice. To avoid food crisis in #Africa, urgent measures for sustained agricultural growth need to be in place now

👉https://t.co/IPxzkF4nWW

#Covid19FoodFuture @MalalaOnisoa 🇲🇬
📷AMP Mada https://t.co/kd5MHhb2Cz","Global","MalalaOnisoa"
"85",2020-05-14 11:36:30,"#Kenya Despite economy disruption &amp; income losses @kilimoKE released nutrition guidelines urging consumption of a diverse diet of 5 food groups daily. Is this out of touch with Kenyans’ reality? Can they afford this diet? #Covid19FoodFuture @sharonjcheboi
https://t.co/ULVuCtFxtp","Kenya","sharonjcheboi"
"86",2020-05-14 11:30:02,"La pandémie de la #COVID19 et ses corollaires ont impacté la filière pomme de terre au #Burkina: des pertes énormes occasionnant des difficultés financières et une tension entre producteurs et grossistes.
Pour en savoir plus: https://t.co/CVbYmI147u
@ed_sango #Covid19FoodFuture","Burkina Faso","ed_sango"
"87",2020-05-14 11:25:21,"#Madagascar – Malgré #Covid19, le projet croissance agricole et sécurisation foncière #CASEF poursuit ses activités en service minimum. L’objectif est de distribuer 500 000 certificats foncière d’ici 2021

👉https://t.co/hhN1wuWYFL

#Covid19FoodFuture @MalalaOnisoa 🇲🇬
📷Geofit https://t.co/VqtSrKRhxF","Madagascar","MalalaOnisoa"
"88",2020-05-14 10:41:30,"#Covid19 au #Benin : les niveaux de production plus faibles que prévu à la suite de l’assouplissement des mesures de confinement pourraient indiquer que des millions de personnes supplémentaires auront trop peu à manger. @josherbert25
#covid19foodfuture https://t.co/NOBSKZ0YZm","Benin","josherbert25"
"89",2020-05-13 14:22:52,"#Covid19 au #Benin - le Gouvernement @gouvbenin met en garde contre la surenchère des prix de produits de première nécessité…”
@CommodAfrica @IFAD
Lire cet article de @josherbert25  https://t.co/fh7UmoLOBv
#covid19foodfuture","Benin","josherbert25"
"90",2020-05-13 14:17:07,"Les produits à forte intensité de main-d’œuvre comme les fruits, les légumes doivent être mis en avant #secteur prioritaire au #Benin. Cela permettrait à la chaîne de valeur de fonctionner et que ces types de vivres puissent également circuler. @josherbert25
#covid19foodfuture https://t.co/7M9n9sXGBb","Benin","josherbert25"
"91",2020-05-13 11:07:25,"#Kenya🇰🇪 Leaders from western Kenya have resolved to revive the building of dams to curb the perennial floods menace that continues to ravage several parts of the region.

🔗https://t.co/tmmvjO5yeD

#Covid19FoodFuture @AmandaNamayi 

📸 Thomson Reuters @ReutersAfrica https://t.co/UHlfgzIWC3","Kenya","AmandaNamayi"
"92",2020-05-13 11:03:50,"#Partenariat entre @commission_coi @HamadaBolero et UE pour une relance post-#Covid19 en #Indianocéanie : Soutenir les #PME ; Priorité aux femmes et jeunes ; Solutions vertes.

👉https://t.co/thvzdvb76G

#Covid19FoodFuture #COI  @MalalaOnisoa 🇲🇬
📷https://t.co/TTLGjXjii1 https://t.co/RJ9vVI3zdR","Global","MalalaOnisoa"
